city,date,cpi,violent crime,property crime,patents,population,unemployment,case shiller,education and health,medical care,motor fuel,income,food and bev,DOW,SP500,NASDAQ
sf,07-90,132.3,12388.0,57562.0,34.0,2974.0,4.4,74.048470600153,0.06143583122677001,161.3,101.2,30168.500000000004,135.1,2934.2280952380947,360.0309523809524,455.8242857142858
sf,08-90,133.1,12388.0,57562.0,36.0,2976.1666666666665,4.3,73.75247492391699,0.06209296874082848,162.7,108.0,30309.91666666667,134.9,2681.887391304348,330.74652173913046,396.3226086956521
sf,09-90,134.0,12388.0,57562.0,47.0,2978.3333333333335,4.1,73.482384079979,0.06222831929704633,163.1,113.2,30451.333333333336,135.7,2550.691052631579,315.40684210526325,368.58157894736837
sf,10-90,134.6,12388.0,57562.0,38.0,2980.5,3.9,72.906601014228,0.06235252209228452,164.2,118.2,30592.75,136.5,2460.536086956522,307.1247826086956,338.01347826086953
sf,11-90,134.7,12388.0,57562.0,15.0,2982.6666666666665,3.9,72.374808079286,0.06268569293234276,164.8,120.3,30734.166666666668,137.2,2518.576666666667,315.29095238095243,347.69428571428574
sf,12-90,135.1,12388.0,57562.0,36.0,2984.8333333333335,3.7,71.864584610222,0.06259054103847629,164.9,122.0,30875.583333333336,137.1,2610.9165000000003,328.7495,370.1525
sf,01-91,136.7,12160.0,57190.0,36.0,2987.0,4.8,71.93549501789799,0.061830091534171745,166.6,113.5,31017.0,140.0,2587.6013636363637,325.4854545454545,376.68136363636364
sf,02-91,136.1,12160.0,57190.0,41.0,2989.25,5.2,71.12639049570599,0.062023620428508154,167.8,104.2,31104.333333333332,139.1,2863.04052631579,362.2631578947369,442.58684210526314
sf,03-91,136.3,12160.0,57190.0,48.0,2991.5,5.0,70.60820847374501,0.06187318848881331,168.7,96.7,31191.666666666664,140.0,2920.1114999999995,372.279,469.10099999999994
sf,04-91,135.8,12160.0,57190.0,51.0,2993.75,4.8,69.909268219997,0.06209899182530939,168.7,92.2,31278.999999999996,140.1,2925.5395454545455,379.67909090909086,496.3190909090909
sf,05-91,136.2,12160.0,57190.0,17.0,2996.0,5.2,70.01055908729299,0.062433251187414884,169.0,98.4,31366.33333333333,139.8,2928.4222727272722,377.9927272727273,490.9336363636363
sf,06-91,137.6,12160.0,57190.0,59.0,2998.25,5.7,70.28133787390199,0.06248912578684266,169.7,101.6,31453.666666666664,140.2,2968.135,378.293,490.3750000000001
